Response.No.;Age;Region;Along.the.coast;Deep.sea;In.the.reef.area;Other;q19boatsize;q20gearBasket;q20gearhandline;q20gearVerticalline;q20gearLargeNet;q20gearGillnet;q20gearOthers;q21engine1;q32Fisnearfad;q60rainy1n0;q63m3s2l1;q64summ1l0;q65winm1l0;q66m3s2l1;q13edu;q14house;q15source;q16age;q17ageregis;q170t.registered;q18fishinboat;;q19exatsize;q19other;q19othersize;;;;;;;;q21engine2;q21other;q22boat;q22boatrange;q22engine;q22enginerange;q22equip;q22equiprange;q22line;q22linerange;q22other;q22tot;q22totrange;q22tot.c;q23homeport;q24homecellA;q25freqloca;q26month;q26times;q27monthmore;q27monthmorerange;Q28wcell1;Q28wcell2;Q28wcell3;Q28wcell4;Q28wcell5;Q28wcell6;Q28wcell7;Q28wcell8;q29Scell1;q29Scell2;q29Scell3;q29Scell4;q29Scell5;q29Scell6;q29Scell7;q29Scell8;q30FADgood;q31FADtrain;;q32why;q33change;q34goodapp;q35;q36fadhelp;q37expl;q38Y1cell;q39Y2cell;q40FADtotal.kg;q41F1name;q41code;q41F1min;q41F1max;q41F2name;q41F2code;q41F2min;q41F2max;q41F3name;q41F3code;q41F3min;q41F3max;q42fadtimes;q43sumname1;q43sumcode1;q43summin1;q43fssummax1;q43sumname2;q43sumcode2;q43summin2;q43fssummax2;q43sumname3;q43sumcode3;q43summin3;q43fssummax3;q43winname1;q43winname1.1;q43winmin1;q43fswinmax1;q43winname2;q43winname2.1;q43winmin2;q43fswinmax2;q43winname3;q43winname3.1;q43winmin3;q43fswinmax3;q44fadmore;q44Dynamic;q45FADmorecell;q46name1;q46name1code;q46name2;q46name2code;q46name3;q46name3code;q46name4;q46name3code.1;q47seamore;q48s0w1;q49less;q50;q51sealess;q52s0w1;q53twofads;q54name1;q54name1code;q54name2;q54name2code;q54name3;q54name3code;q54name4;q54name3code.1;q55temy1n0;q56desc;q57temtime;q57temtimerange;q58fsbehsum;q59fsbewin;q60rainy1n0;q60rainS2DK3;q611when;q611when..range;q62rainb0a4;q62rainb0a4both2DK3;q63m3s2l1;q64summ1l0;q64summ1l0S2DK3;q65winm1l0;q65winm1l0S2DK3;q66m3s2l1;q67n0y1;q67name1;q67name1code;q67name2;q67name2code;q67name3;q67name3code;q67name4;q67name4code;q67name5;q67name5code;q68M3L1s2;q69accnum;q70y1n0;q71usey1n0;q72example;q73Xcell;id;q73X2cell;q74measure;DistanceFADS;q75weather;q75weathernight;q76fami;q77n1q2h3nf4fm5m6mt7;q78fishingtrip;q79selec;q80totalcatch.kg;q81numfisher;q82fsname1;q82fsname1code;q82fsweight1;q82fslen1;q82fsname2;q82fsname2code;q82fsweight2;q82fslen2;q82fsname3;q82fsname3code;q82fsweight3;q82fslen3;q82fsname4;q82fsname4code;q82fsweight4;q82fslen4;q82fsname5;q82fsname5code;q82fsweight5;q82fslen5;q82fsname6;q82fsname6code;q82fsweight6;q82fslen6;q82fsname7;q82fsname7code;q82fsweight7;q82fslen7;q82fsname8;q82fsname8code;q82fsweight8;q82fslen8;q82fsname9;q82fsname9code;q82fsweight9;q82fslen9;q82fsname10;q82fsname10code;q82fsweight10;q82fslen10;q82fsname11;q82fsname11code;q82fsweight11;q82fslen11;q82fsname12;q82fsname12code;q82fsweight12;q82fslen12;q82fsname13;q82fsname13code;q82fsweight13;q82fslen13;q82fsname14;q82fsname14code;q82fsweight14;q82fslen14;q82fsname15;q82fsname15code;q82fsweight15;q82fslen15;q82fsname16;q82fsname16code;q82fsweight16;q82fslen16;q82fsname17;q82fsname17code;q82fsweight17;q82fslen17;q82fsname18;q82fsname18code;q82fsweight18;q82fslen18;q82fsname19;q82fsname19code;q82fsweight19;q82fslen19;q82fsname20;q82fsname20code;q82fsweight20;q82fslen20;q82fsname21;q82fsname21code;q82fsweight21;q82fslen21;q82fsname22;q82fsname22code;q82fsweight22;q82fslen22;q82fsname23;q82fsname23code;q82fsweight23;q82fslen23;q82fsname24;q82fsname24code;q82fsweight24;q82fslen24;q82fsname25;q82fsname25code;q82fsweight25;q82fslen25;q82fsname26;q82fsname26code;q82fsweight26;q82fslen26;q82fsname27;q82fsname27code;q82fsweight27;q82fslen27;q82fsname28;q82fsname28code;q82fsweight28;q82fslen28;q82fsname29;q82fsname29code;q82fsweight29;q82fslen29;q82fsname30;q82fsname30code;q82fsweight30;q82fslen30;q82fsname31;q82fsname31code;q82fsweight31;q82fslen31;q82fsname32;q82fsname32code;q82fsweight32;q82fslen32;q82fsname33;q82fsname33code;q82fsweight33;q82fslen33;q82fsname34;q82fsname34code;q82fsweight34;q82fslen34;q82fsname35;q82fsname35code;q82fsweight35;q82fslen35;q82fsname36;q82fsname36code;q82fsweight36;q82fslen36;q82fsname37;q82fsname37code;q82fsweight37;q82fslen37;q82fsname38;q82fsname38code;q82fsweight38;q82fslen38;q82fsname39;q82fsname39code;q82fsweight39;q82fslen39;q82fsname40;q82fsname40code;q82fsweight40;q82fslen40;q82fsname41;q82fsname41code;q82fsweight41;q82fslen41;q82fsname42;q82fsname42code;q82fsweight42;q82fslen42;q82fsname43;q82fsname43code;q82fsweight43;q82fslen43;q82fsname44;q82fsname44code;q82fsweight44;q82fslen44;q82fsname45;q82fsname45code;q82fsweight45;q82fslen45;q82fsname46;q82fsname46code;q82fsweight46;q82fslen46;q82fsname47;q82fsname47code;q82fsweight47;q82fslen47;q82fsname48;q82fsname48code;q82fsweight48;q82fslen48;q82fsname49;q82fsname49code;q82fsweight49;q82fslen49;q82fsname50;q82fsname50code;q82fsweight50;q82fslen50;q82fsname51;q82fsname51code;q82fsweight51;q82fslen51;q82totaweight;q83fuelD0E1;q84fuelcost;costper.km;q84days;q86fishers;q87numbask;q88height;q88width;q88length;q90lengthwillingness;Questionlouche
178;41;West;1;0;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;0;1;3;0;0;1;2;1;1;15;29;;1;;24;;;;;;;;;;;;115000;;100000;;;;;;;215000;;165-260k;Pointe aux sables;;2;February;10;December;;9441;9172;9038;;;;;;8771;8369;9040;;;;;;1;0;;Big boats take out every big fish;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Water is hotter;10;;0;0;1;;2;;0;;3;0;;0;;1;1;Bonite;14;Beking;9;;;;;;;1;;1;1;Informs about bad weather;9175;9175;;4;1.8;1;;1;;8;1;3;0;Vielle;111;1000;;Vielle;111;1000;;Vielle;111;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;3000;1;500;125;;;;;;;1;
179;45;West;1;0;0;0;Wooden Pirogue < 8 m;0;1;1;1;0;0;Outboard motor power <8;1;1;3;1;0;1;2;1;1;17;;;1;;23;;;;;;;;;;;;75000;;25000;;;;;;;1,00E+05;;75-165k;Pointe aux sables;;4;February;15;December;;9040;8504;;;;;;;7970;8371;;;;;;;1;1;;;1;1;small fish attracted to FADs, Small fish attracts bigger fish;1;Get Bigger fish;7836;7836;;Empereur;44;30;40;Dorade;43;10;20;Bonite;14;10;15;1;Thon Jaune ;104;25;35;Dorade;43;10;20;Bonite;14;10;15;Thon;99;5;35;Dorade;43;10;20;Bonite;14;10;15;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;0;;;;1, less fish in coastal waters;Less fish now;1;;10;;0;;3;1;;0;;1;1;Beking;9;;;;;;;;;1;;1;1;Not reliable;8772;8638;;7;0;2;;1;2;4;3;18;;Thon Jaune;104;5000;50;Thon Jaune;104;5000;50;Bonite;14;2500;15;Bonite;14;5000;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;17500;1;2000;286;;;;;;;1;
180;60;West;1;1;0;0;Wooden Pirogue < 8 m;0;1;1;1;0;0;Outboard motor  power 9-25;1;1;3;0;0;1;3;2;1;18;;;1;;23;;;;;;;;;;;;80000;;25000;;2000;;;;;107000;;75-165k;Pointe aux sables;;2;February;15;January;;8642;7969;9701;;;;;;8642;7969;9701;;;;;;1;1;;;1;1;small fish attracted to FADs, Small fish attracts bigger fish;1;Bigger fish;8642;8642;20;Thon;99;30;45;Thon Jaune;104;20;75;Beking;9;6;20;31;Thon;99;20;75;L'empereur ;44;200;250;Droite;125;6;10;Thon;99;4;75;Bonite;14;3;11;Beking;9;6;20;1;;8907;Thon;99;Beking;9;;;;;0;;0;;;;0;;;;;;;;;1;Weather not good;5;;Fish no longer come ;no fish anymore;1;;5;;0;;3;0;;0;;1;1;Thon;99;;;;;;;;;1;;1;1;Not reliable;7836;7702;;14.2;0;1;;1;3;24;1;70;;Thon;99;17500;130;Thon;99;17 500;130;Thon;99;15 000;100;Thon;99;20 000;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.2;;70000;1;1600;113;;;;;;;1;
181;64;West;1;0;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor power <8;1;1;3;0;0;1;4;1;1;18;;;1;;23;;;;;;;;;;;;75000;;25000;;;;;;;1,00E+05;;75-165k;Pointe aux sables;;2;February;7;;November-December;8642;7969;9701;;;;;;8503;8368;8239;;;;;;1;1;;;1;1;There is a lot of fish over there;1;;8907;8907;25;Thon;99;2;80;Dorade;43;4;18;;;;;1;Marlin;62;200;300;Thon Jaune;104;2;80;Thon;99;;;Marlin;62;200;515;Bonite;14;1;15;Thon Jaune;104;2;80;1;;8907;Thon;99;Dorade;43;;;;;0;;0;;;;0;;;;;;;;;1;Hot weather;5;;1;1;1;;5;;0;;3;0;;0;;1;0;;;;;;;;;;;1;;1;1;Meteo should be banned;8642;8642;;11.1;0;1;;2;2;8;1;35;;Thon Jaune;104;10 000;90;Thon Jaune;104;10 000;95;Thon Jaune ;104;10 000;93;Thon Jaune ;104;5000;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.1;;35000;1;1000;90;;;;;;;1;
182;57;West;1;0;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor power <8;1;1;1;1;0;1;2;1;1;20;;;1;;23;;;;;;;;;;;;100000;;25000;;2000;;1500;;;128000;;75-165k;Pointe aux sables;;4;February;20;;November-December;8642;7969;9701;;;;;;8642;7969;9701;;;;;;1;1;;;1;1;Small fish aggregates;1;;8642;8642;40;Thon;99;20;22;Thon Jaune;104;15;30;Bonite;14;3;4;10;Vielle;111;2;4;Carangue;27;2;3;;;;;Thon Jaune ;104;5;30;Bonite;14;2.5;3.5;Thon;99;20;22;1;;8907;Beking;9;Thon;99;;;;;0;;0;;;;0;;;;;;;;;1;temperature increased;5;;0;0;1;;10;;1;;1;1;;0;;1;1;Bonite;14;;;;;;;;;2;;1;1;Meteo is good;8506;8506;;8.5;2.2;1;;1;2;8;1;105;;Thon;99;25 000;90;Thon;99;15 000;70;Thon;99;30 000;100;Thon;99;35 000;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.5;;105000;1;900;106;;;;;;;1;
183;55;West;1;1;1;0;Wooden Pirogue < 8 m;0;0;1;0;0;0;Outboard motor  power 9-25;1;1;3;1;0;1;2;1;1;5;;;1;;23;;;;;;;;;;;;30000;;25000;;;;;;;50000;;<75k;Pointe aux sables;;4;February;11;November;;8642;7969;9701;;;;;;8642;7969;9701;;;;;;1;1;;;1;1;Big fish near fads;1;;8642;8642;30;Thon;99;5;12.5;Dorade;43;3.5;20;Beking;9;5;20;16;Thon;99;5;20;;;;;;;;;Thon;99;10;30;;;;;;;;;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;temperature increased;10;;Fish are away from the lagoon;Fish are deeper;1;;3;;0;;3;1;;0;;1;1;Beking;9;;;;;;;;;1;;1;1;Informs about bad weather;8907;8907;;5.2;0;1;;1;2;8;3;5;;Thon;99;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.2;;5000;1;1000;192;;;;;;;1;
184;59;West;1;1;0;0;Wooden Pirogue < 8 m;0;1;1;0;0;0;Outboard motor  power 9-25;1;1;2;0;0;1;3;1;1;19;;;1;;23;;;;;;;;;;;;20000;;25000;;;;;;;45000;;<75k;Pointe aux sables;;4;February;10;November;;8642;7969;9701;;;;;;8366;7575;8642;;;;;;1;0;;;1;1;Small fish are always around fads;1;;8642;8642;10;Thon Jaune ;104;2.5;3;Beking;9;5;7.5;Dorade;43;5;7.5;10;Thon Jaune ;104;2.5;3;Beking;9;5;7.5;Dorade;43;5;7.5;Thon Jaune ;104;2.5;3;Beking;9;5;7.5;Dorade;43;5;7.5;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Hotter water;20;;Fish has decreased;Fish has decreased;1;;4;;1;;2;0;;0;;1;0;;;;;;;;;;;1;;1;1;Prevent dangerous outings;8372;8372;;10.3;3;1;;1;2;8;1;10;;Thon;99;5000;;Thon;99;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3;;10000;1;500;49;;;;;;;1;
185;43;West;1;1;0;0;Wooden Pirogue < 8 m;1;1;1;0;0;0;Outboard motor  power 9-25;0;1;3;;;2;3;1;1;18;;;1;;24;;;;;;;;;;;;25000;;25000;;;;;;;50000;;<75k;Baie du Tombeau;;4;February;10;March;;9974;10105;;;;;;;9972;10107;;;;;;;1;0;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;temperature increased;7;;not same, fish has decreased;Less fish in lagoon;1;;3;;0;;3;;2;;2;2;1;Vielle;111;;;;;;;;;1;;1;0;Meteo is not always accurate;9839;9839;;3.1;3.9;1;;1;2;24;3;5;1;Vielle;111;500;10;Vielle;111;100;5;Vielle;111;100;5;Vielle;111;100;5;Vielle;111;200;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.1;;5000;1;600;194;;;;;;;1;
186;47;West;1;0;0;0;Wooden Pirogue < 8 m;1;1;0;0;0;0;Outboard motor  power 9-25;0;1;3;0;0;1;1;1;1;24;;;1;;26;;;;;;;;;;;;200000;;75000;;;;;;;2,00E+05;;165-260k;Baie du Tombeau;;4;February;25;March;;9840;;;;;;;;9840;;;;;;;;1;0;;;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Hot summer;3;;Less fish;Less fish;1;;3;;0;;3;0;;0;;1;1;Vielle;111;;;;;;;;;1;;1;1;Meteo is not always accurate;9703;9703;;5.1;2;1;;1;2;8;1;7;1;Cato;30;250;10;Cato;30;250;10;Cato;30;200;10;Vielle;111;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.1;;7000;1;500;98;;;;;;;1;
187;49;West;1;0;0;0;Wooden Pirogue < 8 m;0;1;0;0;0;0;Outboard motor  power 9-25;1;1;3;1;0;1;3;1;1;17;25;;1;;26;;;;;;;;;;;;90000;;50000;;;;15000;;;155000;;75-165k;Tamarin;;2;January;30;;January-March;7321;7987;8120;7177;;;;;7321;7987;8120;7177;;;;;1;1;;;1;1;More fish come over ther;1;More fish are caught;7177;7177;200;Thon;99;;100;Beking;9;;50;Marlin;62;;50;;Thon;99;;100;Beking;9;;50;Marlin;62;;50;Carangue;27;;50;Vielle;111;;50;Cato;30;;50;0;;;;;;;;;;;;;0;;;;0;;;;;;;;;1;Hotter than before;10;;1;1;1;;10;;0;;3;1;;0;;1;1;Capitaine;25;Vacoas;108;Espadon;45;;;;;1;;1;1;Easier for me to know when to fish;;;;;;1;;1;4;24;3;200;2;Thon;99;100000;;Beking;9;100000;;Marlin;62;100000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,00E+05;1;1200;;;;;;;;1;1
188;36;West;0;1;0;0;Fibre glass;1;1;1;0;0;0;Outboard motor  power 9-25;1;1;3;1;0;1;5;1;1;11;22;;1;;26 FT;FIBRE;;;;;;;;;;;225000;;57000;;48000;;23000;;5000;358000;;>260k;ALBION;8647;;JUNE;;December;;7973;;;;;;;;6638;;;;;;;;1;1;;;1;;;1;;7437;8642;25;Dorade;43;2;5;Thon;99;2;10;;;;;2;Thon;99;2;;?;2;;;;;;;Yellow tuna;;;;Skip jack;;;;Wahoo;;;;;;8642;Bonite;;Thon Jaune;;;;;;0;;;8772;0;;;Thon jaune;;;;;;;;1;Rough sea, deterioration of climate;;;Les fish circulating in lagoon;Depending on marée (tides) sometimes less fish;1;;;8 - 10 years;;2;3;1;;0;;1;1;Vielle Rouge;;Croissant;;;;;;;;1;;1;1;Internet new about meteo if there is high waves;8249;;;8.5;;2;;1;1;4;1,5;12;3;Cato;30;1000;40;Cordonnier;38;500;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1500;;;3;9;2;2.5;4;1;
189;40;West;1;1;0;0;Fibre glass;1;1;0;0;0;0;Outboard motor  power 9-25;1;0;1;0;1;1;3;1;1;15;20;;0;;24;FIBRE;;;;;;;;;;;100000;;50000;;25000;;;;;175000;;165-260k;ALBION;8910;2;JUNE;;JANUARY;;6899;;;;;;;;7704;;;;;;;;1;1;;;1;;;1;;7836;7970;12;Thon jaune;104;2;3;;;;;;;;;4;Thon jaune;104;2;;Vielle;0.5;;;Tombeau;;3;;;;;;;;;;;;;;;;7437;Yellow Tuna;104;;;;;;;1;0;;7845;0;;;yellow tuna;;;;;;;;1;more cold in winter;;last 5 years;Fish go away to look for good temperature water;less fish in winter;0;;;;;;1;0;;1;;1;1;babonne;;;;;;;;;;1;;1;1;very useful in case of high wave alert;8372;;;6;;2;;1;1;4;1;12;2;Vielle rouge;119;1500;;Cato;30;500;;Cordonnier;38;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;2;4;2;1;
190;40;West;0;1;0;0;Fibre glass;1;1;0;0;0;0;Outboard motor  power 9-25;1;1;3;0;1;1;4;1;1;11;22;;1;;26;FIBRE;26;;;;;;;;5;;430000;;120000;;75000;;5000;;;630000;;>260k;ALBION;8916;;JUNE;10;NOVEMBER;;7437;;;;;;;;7836;;;;;;;;1;1;;;1;;;1;;7970;7303;15;TOMBEAU;;10;;BONITE;;3;;THON;;2;;;THON JAUNE;104;2;5;TOMBEAU;;7;10;BONITE;;2;3;;;;;;;;;;;;;;;7437;TOMBEAU;;BONITE;;;;;;1;0;;8772;1;0;;Thon jaune;;;;;;;;1;cooler;;5 to 9 years;more fish in summer;fish go away in winter;1;;;5 to 6 years;0;;3;0;;1;;1;1;Vielle Rouge;;;;;;;;;;1;;1;1;High wave warning;8642;;;4.5;;1;;1;1;8;1;15;2;Vielle rouge;119;500;;Cato;30;500;;carang;;2000;;cordonnier;38;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1400;;;2;12;0.6;0.9;0,6;1;
191;70;West;1;1;1;0;;1;1;0;0;0;0;Outboard motor  power 9-25;0;1;2;1;0;1;3;4;1;15;20;;1;;22;;;;;;;;;;;;125000;;75000;;30000;;5000;;;235000;;165-260k;ALBION;8911;;JUNE;5;December;;8372;;;;;;;;7844;;;;;;;;0;0;;too many fishermen around;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;cooler in winter;10;;fish go in deep water;less fish  ;1;;5;;0;;2;1;;0;;1;;;;;;;;;;;;1;;1;1;la houles et clyclone warnings;8374;;;;;3;;1;1;8;1;8;1;Cordonnier;38;1000;;vielle;111;500;;cato;30;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1000;;;1;5;0.6;0.6;0,9;2;
192;41;West;0;1;0;0;Fibre glass;1;1;1;0;0;0;Outboard motor  power 9-25;1;0;;;0;0;4;1;1;12;28;;1;;22;FIBRE GLASS;22;;;;;;;;;;200000;;80000;;50000;;25000;;;355000;;>260k;ALBION;8777;;JUNE;12;OCTOBER TO APRIL;;8108;;;;;;;;6897;;;;;;;;1;1;;;1;;;1;;7836/7437;7836/7970;15;THON;99;5;7;;;;;;;;;2;THON;99;5;12;BONITE;;1;3;;;;;THON JAUNE;104;3;12;;;;;;;;;1;;7437;THON JAUNE;;BONITE;;CARANGUE;;;;1;1;1;8642;1;1;;THON JAUNE;;;;;;;;0;;;;less fish compared to previous years;more difficult , lesser fish, cooler temperature;0;;;;;;;;2;0;;0;1;Vielle Rouge;;babonne;;;;;;;;1;;1;1;very useful for cyclone warnings and high tides;7704;;;10;;2;;2;;4;1;20;2;thon;;5000;;cato;;1000;;cordonnier;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1000;;;2;;2;2;2;1;
193;43;West;0;1;0;0;Fibre glass;1;1;1;0;0;0;Outboard motor  power 9-25;1;1;3;1;0;1;3;1;1;15;20;;1;;28;FIBRE;28;;;;;;;;;;250000;;100000;;37500;;35000;;;422500;;>260k;ALBION;8910;4;JUNE;4;NOVEMBER;;8638;;;;;;;;6765;;;;;;;;1;1;;;1;;;1;;8772;7836;12;THON;99;25;10;BONITE;;2;5;;;;;;THON BOLA;;2;7;;;;;;;;;THON JAUNE;104;4;8;;;;;;;;;1;;7437;THON JAUNE;;;;;;;;;;1;8642;1;1;1;THON JAUNE;;;;;;;;1;rough sea, more waves high;;5 to 7 years;les fish caught in lagoons;less in winter;1;;;;0;;3;1;;0;;1;1;licornes;;guele paver;;sacrechien;;;;;;1;;1;1;cyclone and high tide warnings;8246;;;11.75;;2;;1;1;4;1;15;3;Cato;;1000;;Cordonnier;;500;;carang;;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2500;;;3;11;1.5;2;1;1;
